,Id,SalePrice,Guess
0,1461,169277.0524984,301813120.0
1,1462,187758.393988768,283831680.0
2,1463,183583.683569555,339712224.0
3,1464,179317.47751083,315286976.0
4,1465,150730.079976501,279059840.0
5,1466,177150.989247307,308689696.0
6,1467,172070.659229164,296054880.0
7,1468,175110.956519547,294662976.0
8,1469,162011.698831665,313926368.0
9,1470,160726.247831419,286258816.0
10,1471,157933.279456005,295657376.0
11,1472,145291.245020389,241582160.0
12,1473,159672.017631819,247821728.0
13,1474,164167.518301885,264079936.0
14,1475,150891.638244053,241363792.0
15,1476,179460.96518734,356339776.0
16,1477,185034.62891405,334789376.0
17,1478,182352.192644656,333639808.0
18,1479,183053.458213802,351779840.0
19,1480,187823.339254278,404406336.0
20,1481,186544.114327568,364207808.0
21,1482,158230.77520516,292932544.0
22,1483,190552.829321091,359499040.0
23,1484,147183.67487199,262490592.0
24,1485,185855.300905493,319422240.0
25,1486,174350.470676986,304527136.0
26,1487,201740.620690863,386958784.0
27,1488,162986.378895754,314082048.0
28,1489,162330.199085679,300208384.0
29,1490,165845.938616539,330725088.0
30,1491,180929.622876974,321967232.0
31,1492,163481.501519718,284082688.0
32,1493,187798.076714233,342015744.0
33,1494,198822.198942566,354247584.0
34,1495,194868.409899858,349749888.0
35,1496,152605.298564403,298328256.0
36,1497,147797.702836811,274882016.0
37,1498,150521.96899297,259628224.0
38,1499,146991.630153739,257651392.0
39,1500,150306.307814534,259217792.0
40,1501,151164.372534604,272604224.0
41,1502,151133.706960953,251045504.0
42,1503,156214.042540726,341492832.0
43,1504,171992.760735142,307287264.0
44,1505,173214.912549738,311746624.0
45,1506,192429.187345783,331036544.0
46,1507,190878.69508543,353185888.0
47,1508,194542.544135519,378008320.0
48,1509,191849.439072822,306139808.0
49,1510,176363.773907793,305299776.0
50,1511,176954.185412429,309670848.0
51,1512,176521.216975696,320337760.0
52,1513,179436.704810176,310352832.0
53,1514,220079.756777048,202449504.0
54,1515,175502.918109444,340077856.0
55,1516,188321.073833569,349073664.0
56,1517,163276.324450004,304123008.0
57,1518,185911.366293097,303632672.0
58,1519,171392.830997252,315482176.0
59,1520,174418.207020775,292456256.0
60,1521,179682.709603774,311352128.0
61,1522,179423.751581665,317410816.0
62,1523,171756.918091777,286683264.0
63,1524,166849.638174419,298172864.0
64,1525,181122.168676666,300507200.0
65,1526,170934.462746566,314850752.0
66,1527,159738.292580329,276183200.0
67,1528,174445.759557658,286670848.0
68,1529,174706.363659627,289672128.0
69,1530,164507.672539365,314027776.0
70,1531,163602.512172832,276605760.0
71,1532,154126.270249525,111838528.0
72,1533,171104.853481351,283780992.0
73,1534,167735.39270528,274550336.0
74,1535,183003.613338104,324589728.0
75,1536,172580.381161499,288181664.0
76,1537,165407.889104689,278575296.0
77,1538,176363.773907793,300190656.0
78,1539,175182.950898522,315821184.0
79,1540,190757.177789246,166126208.0
80,1541,167186.995771991,306720320.0
81,1542,167839.376779276,289636512.0
82,1543,173912.421165137,308461504.0
83,1544,154034.917445551,250611072.0
84,1545,156002.955794336,267870144.0
85,1546,168173.94329857,271566656.0
86,1547,168882.437104132,281604096.0
87,1548,168173.94329857,277117504.0
88,1549,157580.177551642,269138944.0
89,1550,181922.15256011,283776320.0
90,1551,155134.227842592,277448640.0
91,1552,188885.573319552,301706528.0
92,1553,183963.193012381,170082480.0
93,1554,161298.762306335,251608128.0
94,1555,188613.66763056,352215296.0
95,1556,175080.111822945,291928256.0
96,1557,174744.400305232,161456720.0
97,1558,168175.911336919,261162784.0
98,1559,182333.472575006,140983712.0
99,1560,158307.206742274,286662336.0
100,1561,193053.055502348,183367488.0
101,1562,175031.089987177,276467136.0
102,1563,160713.294602908,280800544.0
103,1564,173186.215014436,304899904.0
104,1565,191736.7598055,309040608.0
105,1566,170401.630997116,382992608.0
106,1567,164626.577880222,273952832.0
107,1568,205469.409444832,370720896.0
108,1569,209561.784211885,356924736.0
109,1570,182271.503072356,300831488.0
110,1571,178081.549427793,289393216.0
111,1572,178425.956138831,303566528.0
112,1573,162015.318511503,373201216.0
113,1574,181722.420373045,308717472.0
114,1575,156705.730169433,337248256.0
115,1576,182902.420342386,339586016.0
116,1577,157574.595395085,289587008.0
117,1578,184380.739100813,322734880.0
118,1579,169364.469225677,307117632.0
119,1580,175846.179822063,310284960.0
120,1581,189673.295302136,326642752.0
121,1582,174401.317715566,277575296.0
122,1583,179021.448718583,354397504.0
123,1584,189196.845337149,321614176.0
124,1585,139647.095720655,264441792.0
125,1586,161468.198288911,261032896.0
126,1587,171557.32317862,276091648.0
127,1588,179447.36804185,309939136.0
128,1589,169611.619017694,300688192.0
129,1590,172088.872655744,278086560.0
130,1591,171190.624128768,117971216.0
131,1592,154850.508361878,272802240.0
132,1593,158617.655719941,272988640.0
133,1594,209258.33693701,155954368.0
134,1595,177939.027626751,155832832.0
135,1596,194631.100299584,331188448.0
136,1597,213618.871562568,357646656.0
137,1598,198342.504228533,366246304.0
138,1599,138607.971472497,268484064.0
139,1600,150778.958976731,267381184.0
140,1601,146966.230339786,263952544.0
141,1602,162182.59620952,286801792.0
142,1603,176825.940961269,273339200.0
143,1604,152799.812402444,300025024.0
144,1605,180322.322067129,332044416.0
145,1606,177508.027228367,307067584.0
146,1607,208029.642652019,347931200.0
147,1608,181987.282510201,321072128.0
148,1609,160172.72797397,302640768.0
149,1610,176761.317654248,298805088.0
150,1611,176515.497545231,331386400.0
151,1612,176270.453065471,312584832.0
152,1613,183050.846258475,319314528.0
153,1614,150011.102062216,257637376.0
154,1615,159270.537808667,95138136.0
155,1616,163419.663729346,94367376.0
156,1617,163399.983345859,245584320.0
157,1618,173364.161505756,273484896.0
158,1619,169556.835902417,305835648.0
159,1620,183690.595995738,318412480.0
160,1621,176980.914909382,303624416.0
161,1622,204773.36222471,310154432.0
162,1623,174728.655998442,337641376.0
163,1624,181873.458244461,344049472.0
164,1625,177322.000823979,308847616.0
165,1626,193927.939041863,319000160.0
166,1627,181715.622732304,319051904.0
167,1628,199270.841200324,347829184.0
168,1629,177109.589956218,294404032.0
169,1630,153909.578271486,356033152.0
170,1631,162931.203336223,300311552.0
171,1632,166386.7567182,316832736.0
172,1633,173719.30379824,292852832.0
173,1634,179757.925656704,300438816.0
174,1635,179007.601964376,302204160.0
175,1636,180370.808623106,284915520.0
176,1637,185102.616730563,333992832.0
177,1638,198825.563452058,338469696.0
178,1639,184294.576009142,325142144.0
179,1640,200443.7920562,357663424.0
180,1641,181294.784484153,328653184.0
181,1642,174354.336267919,306806560.0
182,1643,172023.677781517,304639104.0
183,1644,181666.922855025,309334976.0
184,1645,179024.491269586,327548960.0
185,1646,178324.191575907,306460064.0
186,1647,184534.676687694,311820416.0
187,1648,159397.250378784,285655872.0
188,1649,178430.966728182,289164032.0
189,1650,177743.799385967,279753440.0
190,1651,179395.305519087,284875264.0
191,1652,151713.38474815,242082768.0
192,1653,151713.38474815,240511232.0
193,1654,168434.977996215,263240320.0
194,1655,153999.100311019,256210704.0
195,1656,164096.097354123,262478336.0
196,1657,166335.403036551,263865008.0
197,1658,163020.725375757,261648304.0
198,1659,155862.510668829,247855056.0
199,1660,182760.651095509,297809792.0
200,1661,201912.270622883,391416896.0
201,1662,185988.233987516,369304256.0
