,PassengerId,Survived,Check,final
0,892,0,0.15408700704574585,0
1,893,1,0.48153990507125854,0
2,894,0,0.23537017405033112,0
3,895,0,0.15385863184928894,0
4,896,1,0.6923710703849792,1
5,897,0,0.15370653569698334,0
6,898,1,0.7658092975616455,1
7,899,0,0.33123499155044556,0
8,900,1,0.7658092975616455,1
9,901,0,0.034315239638090134,0
10,902,0,0.15332680940628052,0
11,903,0,0.3601154386997223,0
12,904,1,0.7658092975616455,1
13,905,0,0.1762986034154892,0
14,906,1,0.7658092975616455,1
15,907,1,0.7101297378540039,1
16,908,0,0.23087210953235626,0
17,909,0,0.15279646217823029,0
18,910,1,0.484529584646225,0
19,911,1,0.7658092975616455,1
20,912,0,0.3601154386997223,0
21,913,0,0.2843398451805115,0
22,914,1,0.7658092975616455,1
23,915,0,0.3601154386997223,0
24,916,1,0.7658092975616455,1
25,917,0,0.07058777660131454,0
26,918,1,0.7658092975616455,1
27,919,0,0.1520414501428604,0
28,920,0,0.3601154386997223,0
29,921,0,0.03314385935664177,0
30,922,0,0.17190562188625336,0
31,923,0,0.1281287670135498,0
32,924,1,0.7658092975616455,1
33,925,1,0.7658092975616455,1
34,926,0,0.3601154386997223,0
35,927,0,0.15143965184688568,0
36,928,1,0.7658092975616455,1
37,929,1,0.7658092975616455,1
38,930,0,0.15121446549892426,0
39,931,0,0.151139497756958,0
40,932,0,0.28208568692207336,0
41,933,0,0.3601154386997223,0
42,934,0,0.15091472864151,0
43,935,1,0.7658092975616455,1
44,936,1,0.7658092975616455,1
45,937,0,0.15069015324115753,0
46,938,0,0.3601154386997223,0
47,939,0,0.15054063498973846,0
48,940,1,0.7658092975616455,1
49,941,1,0.7658092975616455,1
50,942,0,0.3601154386997223,0
51,943,0,0.21989192068576813,0
52,944,1,0.6938216090202332,1
53,945,1,0.6539580225944519,1
54,946,0,0.2189684510231018,0
55,947,0,0.03630100563168526,0
56,948,0,0.14986923336982727,0
57,949,0,0.1497947871685028,0
58,950,0,0.06933290511369705,0
59,951,1,0.7658092975616455,1
60,952,0,0.14957162737846375,0
61,953,0,0.2168245017528534,0
62,954,0,0.1494230329990387,0
63,955,1,0.7658092975616455,1
64,956,0,0.3601154386997223,0
65,957,1,0.7658092975616455,1
66,958,1,0.7658092975616455,1
67,959,0,0.3601154386997223,0
68,960,0,0.3601154386997223,0
69,961,1,0.7658092975616455,1
70,962,1,0.7658092975616455,1
71,963,0,0.148755744099617,0
72,964,1,0.7658092975616455,1
73,965,0,0.3601154386997223,0
74,966,1,0.7658092975616455,1
75,967,0,0.3601154386997223,0
76,968,0,0.148386150598526,0
77,969,1,0.7134233713150024,1
78,970,0,0.21168114244937897,0
79,971,1,0.7658092975616455,1
80,972,0,0.13970983028411865,0
81,973,0,0.3601154386997223,0
82,974,0,0.3601154386997223,0
83,975,0,0.14786987006664276,0
84,976,0,0.2098873108625412,0
85,977,0,0.06832164525985718,0
86,978,1,0.7658092975616455,1
87,979,1,0.7658092975616455,1
88,980,1,0.7658092975616455,1
89,981,0,0.29943767189979553,0
90,982,1,0.49720168113708496,0
91,983,0,0.1472817212343216,0
92,984,1,0.7658092975616455,1
93,985,0,0.14713500440120697,0
94,986,0,0.3601154386997223,0
95,987,0,0.14698836207389832,0
96,988,1,0.7658092975616455,1
97,989,0,0.1468418687582016,0
98,990,1,0.7658092975616455,1
99,991,0,0.14669552445411682,0
100,992,1,0.7658092975616455,1
101,993,0,0.15449340641498566,0
102,994,0,0.14647617936134338,0
103,995,0,0.14640313386917114,0
104,996,1,0.7071651816368103,1
105,997,0,0.14625714719295502,0
106,998,0,0.14618414640426636,0
107,999,0,0.14611123502254486,0
108,1000,0,0.14603830873966217,0
109,1001,0,0.20253334939479828,0
110,1002,0,0.20224319398403168,0
111,1003,1,0.7658092975616455,1
112,1004,1,0.7658092975616455,1
113,1005,1,0.7658092975616455,1
114,1006,1,0.7658092975616455,1
115,1007,0,0.06721402704715729,0
116,1008,0,0.1454562395811081,0
117,1009,1,0.7090575695037842,1
118,1010,0,0.3601154386997223,0
119,1011,1,0.6991236209869385,1
120,1012,1,0.7658092975616455,1
121,1013,0,0.06699447333812714,0
122,1014,1,0.7658092975616455,1
123,1015,0,0.14494846761226654,0
124,1016,0,0.14487601816654205,0
