,PassengerId,Survived,Check,final
0,892,0,0.09541632235050201,0
1,893,1,0.618818461894989,1
2,894,0,0.18391212821006775,0
3,895,0,0.09553084522485733,0
4,896,1,0.5771383047103882,1
5,897,0,0.09560725837945938,0
6,898,1,0.7381722331047058,1
7,899,0,0.3628864884376526,0
8,900,1,0.737453818321228,1
9,901,0,0.14657005667686462,0
10,902,0,0.0957985371351242,0
11,903,0,0.1924147605895996,0
12,904,1,0.8572283387184143,1
13,905,0,0.22383463382720947,0
14,906,1,0.8572283387184143,1
15,907,1,0.8572283387184143,1
16,908,0,0.1848427653312683,0
17,909,0,0.0960669219493866,0
18,910,1,0.6113446950912476,1
19,911,1,0.7334797978401184,1
20,912,0,0.35189446806907654,0
21,913,0,0.17412219941616058,0
22,914,1,0.8364585638046265,1
23,915,0,0.36456015706062317,0
24,916,1,0.8572283387184143,1
25,917,0,0.11957819759845734,0
26,918,1,0.8572283387184143,1
27,919,0,0.09645146876573563,0
28,920,0,0.1985609531402588,0
29,921,0,0.147679403424263,0
30,922,0,0.22514282166957855,0
31,923,0,0.2701704204082489,0
32,924,1,0.5227625370025635,1
33,925,1,0.5222992300987244,1
34,926,0,0.3592694103717804,0
35,927,0,0.09676003456115723,0
36,928,1,0.7272632718086243,1
37,929,1,0.7268947958946228,1
38,930,0,0.09687600284814835,0
39,931,0,0.09691467881202698,0
40,932,0,0.17533321678638458,0
41,933,0,0.20335990190505981,0
42,934,0,0.09703079611063004,0
43,935,1,0.8572283387184143,1
44,936,1,0.8572283387184143,1
45,937,0,0.09714705497026443,0
46,938,0,0.20522846281528473,0
47,939,0,0.0972246527671814,0
48,940,1,0.84447181224823,1
49,941,1,0.6503967046737671,1
50,942,0,0.36778002977371216,0
51,943,0,0.18718524277210236,0
52,944,1,0.7307422161102295,1
53,945,1,0.832729160785675,1
54,946,0,0.18738707900047302,0
55,947,0,0.06487298756837845,0
56,948,0,0.09757436066865921,0
57,949,0,0.09761328995227814,0
58,950,0,0.12112243473529816,0
59,951,1,0.8477643728256226,1
60,952,0,0.09773015230894089,0
61,953,0,0.1878586858510971,0
62,954,0,0.09780817478895187,0
63,955,1,0.7172058820724487,1
64,956,0,0.7201166152954102,1
65,957,1,0.8572283387184143,1
66,958,1,0.7160745859146118,1
67,959,0,0.21321530640125275,0
68,960,0,0.2136012315750122,0
69,961,1,0.8572283387184143,1
70,962,1,0.7145619988441467,1
71,963,0,0.09815975278615952,0
72,964,1,0.7138039469718933,1
73,965,0,0.2155384123325348,0
74,966,1,0.8521618247032166,1
75,967,0,0.21631689369678497,0
76,968,0,0.09835557639598846,0
